c instance by G2
c solution = 0011110001011100001010011010101011001100
p cnf 40 152 3
w 3 2 8 3 3 1 5 2 6 2 4 3 9 3 1 9 2 0 0 8 9 6 4 4 8 6 4 3 3 3 7 4 5 3 7 1 5 8 1 8 
-5 31 -34 0
-33 4 -32 0
-19 8 -32 0
-32 35 -4 0
1 24 -22 0
-10 -33 -15 0
7 26 37 0
-38 -16 -20 0
17 19 -21 0
-38 14 -18 0
-5 -33 13 0
28 -10 -15 0
-34 -33 -9 0
1 29 16 0
-30 23 -19 0
29 -16 -36 0
29 -26 -13 0
30 33 -21 0
-3 -26 -22 0
-2 21 -10 0
24 7 11 0
30 -23 32 0
25 -6 13 0
-35 -14 21 0
27 -7 -9 0
40 -9 -20 0
-23 -19 -16 0
28 4 -38 0
-38 19 17 0
-23 -16 -18 0
-8 24 20 0
9 40 -8 0
-26 -21 35 0
21 -31 36 0
34 2 4 0
36 5 34 0
21 27 -12 0
20 17 25 0
10 -16 21 0
4 -33 17 0
-26 17 35 0
9 19 -21 0
31 -29 4 0
-20 3 40 0
34 -13 24 0
-15 -28 -12 0
28 31 -4 0
-6 -23 4 0
-14 -10 -22 0
-25 1 -22 0
12 32 35 0
39 33 30 0
2 12 30 0
-4 -17 -1 0
-14 -34 29 0
7 39 27 0
-28 40 -25 0
28 -16 19 0
15 -13 -17 0
-8 -37 38 0
-29 -23 -21 0
-14 31 -2 0
14 6 -8 0
33 -4 27 0
35 25 16 0
33 -3 -11 0
31 29 32 0
-31 -10 3 0
17 -12 38 0
-19 6 33 0
-30 3 19 0
-23 12 -31 0
27 12 -5 0
-6 -12 -1 0
-2 3 -27 0
-17 -12 15 0
26 34 -28 0
20 9 5 0
-37 -36 -27 0
1 31 39 0
-20 -17 -1 0
28 -35 -15 0
-4 14 36 0
-35 39 2 0
-40 38 2 0
17 -9 7 0
-15 4 -30 0
-30 -29 25 0
10 39 36 0
-20 26 -38 0
-27 -11 38 0
-40 -31 -12 0
-9 26 -6 0
17 39 -7 0
9 -8 -33 0
-31 -25 27 0
-1 36 -6 0
-30 26 36 0
14 10 4 0
-29 11 -36 0
-20 -28 18 0
20 6 -19 0
11 8 -39 0
29 14 7 0
26 34 -31 0
-5 -10 -16 0
-4 9 -36 0
27 -10 -40 0
33 23 10 0
38 -35 15 0
19 7 -30 0
-14 2 13 0
-13 1 5 0
11 -15 -4 0
-28 36 4 0
30 35 5 0
15 29 30 0
17 33 24 0
13 1 -12 0
-6 36 -9 0
-22 -18 7 0
33 -19 -7 0
24 27 -25 0
35 -26 23 0
12 22 34 0
39 20 38 0
40 19 -4 0
30 18 -16 0
2 -30 -3 0
-40 6 1 0
38 -11 -36 0
-34 37 17 0
-16 12 21 0
23 -29 13 0
-25 36 -2 0
27 -36 2 0
-3 5 -24 0
-10 -33 38 0
-24 -17 16 0
-35 -27 -29 0
8 24 -22 0
-29 9 -2 0
20 -28 34 0
-36 15 40 0
-28 -17 -7 0
-18 -4 16 0
23 -16 -8 0
1 -25 -35 0
-4 -19 10 0
6 -29 25 0
-20 16 40 0
-11 -25 -31 0
