c instance by G2
c solution = 01011110110110110010011100010100000111111010101000
p cnf 50 140 3
w 0 1 0 1 9 5 1 7 2 5 0 6 8 4 6 2 8 8 2 9 3 9 9 0 6 2 3 9 2 6 3 4 2 1 0 8 1 2 7 0 8 0 4 4 7 6 2 7 5 8 
-3 27 -2 0
-6 -45 13 0
10 -31 20 0
47 45 -3 0
27 -35 -12 0
-27 -15 31 0
-12 24 -33 0
-9 -46 11 0
28 -44 -24 0
44 43 -3 0
-12 6 37 0
-37 -11 -32 0
37 4 -49 0
-9 -46 -28 0
29 -11 35 0
6 -48 14 0
-28 43 -37 0
-37 30 11 0
23 -19 18 0
14 39 -38 0
16 27 -22 0
-12 33 43 0
12 44 33 0
28 12 -36 0
-30 -17 -45 0
-26 22 -39 0
6 -45 23 0
-13 -10 -50 0
-44 9 -38 0
4 8 32 0
22 -37 29 0
48 -17 -3 0
45 -39 18 0
28 -39 -18 0
-9 14 19 0
-34 -44 -33 0
-36 24 -45 0
30 50 31 0
43 4 -46 0
-42 17 -44 0
-50 -32 47 0
31 35 5 0
41 -26 -15 0
19 4 -20 0
13 -25 -37 0
-7 11 -20 0
50 -11 -12 0
50 40 25 0
46 -4 36 0
34 -29 50 0
-6 -29 1 0
28 -22 -6 0
5 -11 -17 0
20 37 34 0
-34 -45 16 0
-38 -23 15 0
29 12 -41 0
-43 -11 7 0
10 -15 -40 0
-21 -19 -12 0
9 -41 27 0
-23 17 -29 0
29 -18 33 0
-2 -44 -12 0
32 -14 -39 0
24 22 26 0
-7 -12 -29 0
-4 22 31 0
33 -47 -14 0
38 21 27 0
-5 -49 1 0
-35 -37 1 0
-8 44 -33 0
-33 -7 14 0
-8 -35 -44 0
34 -39 36 0
-20 -49 -33 0
-26 -12 46 0
26 10 43 0
-46 -28 -2 0
-28 36 -24 0
19 48 -4 0
-16 -13 -25 0
7 27 -33 0
46 -47 -11 0
18 14 28 0
6 -25 1 0
41 -37 48 0
-10 40 24 0
-45 -43 -50 0
11 -3 25 0
1 -11 28 0
38 42 17 0
29 -37 -49 0
-38 8 4 0
41 46 6 0
-9 42 7 0
-38 7 3 0
33 9 44 0
-38 10 8 0
12 13 19 0
46 6 -36 0
-33 -20 -1 0
-9 2 -15 0
25 -17 18 0
10 19 47 0
-28 -19 -20 0
-44 -37 -10 0
-35 14 -49 0
-5 31 -32 0
-39 -37 47 0
-22 -48 20 0
-16 46 -42 0
-31 43 -46 0
-2 -24 -50 0
-34 -16 17 0
22 -35 -37 0
-47 35 4 0
-11 38 -3 0
26 11 -8 0
3 -35 20 0
-10 -39 -32 0
-18 50 12 0
24 -5 1 0
-10 -25 49 0
-29 -41 -5 0
22 -50 -1 0
-21 20 50 0
-24 -21 -2 0
45 -35 44 0
-10 -31 -4 0
28 47 -4 0
10 -38 44 0
-39 -50 -9 0
-4 -41 -48 0
-1 50 -7 0
44 -18 -34 0
-29 -2 -48 0
-25 -42 -10 0
31 14 -44 0
