c instance by G2
c solution = 0011110001011100001010011010101011001100
p cnf 40 160 3
w 9 9 0 7 1 6 5 1 3 1 3 9 1 2 1 6 4 2 4 4 6 7 9 7 4 8 6 0 5 6 4 8 5 6 0 2 0 5 7 5 
12 22 34 0
20 -28 34 0
-4 21 35 0
-8 24 20 0
13 -29 22 0
-30 -29 25 0
-13 -14 25 0
29 14 7 0
-20 -19 -17 0
24 -34 11 0
-25 14 15 0
20 9 5 0
35 25 16 0
38 -35 15 0
-25 1 -22 0
25 -6 13 0
30 29 32 0
-4 -17 -1 0
-40 38 2 0
-37 -36 -27 0
-20 -28 18 0
-20 -17 -1 0
-4 9 -17 0
27 -36 2 0
36 5 34 0
-33 4 -32 0
33 -3 -11 0
-17 -12 15 0
10 -16 21 0
-3 -16 28 0
-35 12 14 0
-38 14 -18 0
36 -8 -14 0
7 26 37 0
-39 -21 -19 0
29 -26 -13 0
-16 12 21 0
9 40 -8 0
-30 23 -19 0
35 -26 23 0
-4 33 -24 0
30 -23 32 0
28 -35 -15 0
-35 39 2 0
-5 -33 13 0
26 34 -28 0
33 -19 -7 0
9 19 -21 0
7 39 27 0
1 29 16 0
-10 -33 38 0
27 -10 -40 0
-12 36 -26 0
-31 -20 1 0
27 -7 -9 0
35 -25 12 0
31 32 16 0
-23 -19 -16 0
24 27 -25 0
30 39 19 0
-6 -12 -1 0
31 -29 4 0
-3 5 -24 0
1 31 39 0
-20 3 40 0
29 -16 -36 0
14 6 -8 0
-4 -32 -19 0
27 -21 -31 0
-4 -38 6 0
21 27 -12 0
-25 36 -2 0
-1 -33 28 0
-28 36 4 0
-35 -27 -29 0
4 -33 17 0
-22 -18 7 0
-15 -28 -12 0
-5 -10 -16 0
10 39 36 0
17 -12 38 0
-10 -33 -15 0
14 10 4 0
-14 31 -2 0
-30 3 19 0
-15 -34 2 0
-40 6 1 0
-32 35 -4 0
-35 -14 21 0
-8 -37 38 0
4 -12 -25 0
6 -29 25 0
33 -4 27 0
2 -40 -38 0
-20 16 40 0
-23 11 4 0
-23 12 -31 0
10 26 7 0
3 7 -24 0
27 12 -5 0
33 23 10 0
-19 6 33 0
-4 31 -11 0
-6 -23 4 0
12 32 35 0
5 -14 40 0
-15 4 -30 0
15 -13 -17 0
-38 19 17 0
17 19 -21 0
-10 -3 38 0
19 7 -30 0
-27 6 40 0
33 -9 17 0
-21 -30 22 0
38 -11 -36 0
31 29 32 0
-30 26 36 0
13 1 -12 0
40 -9 -20 0
-4 -11 2 0
17 33 24 0
8 24 -22 0
-28 -17 -7 0
-14 -34 29 0
11 -15 -4 0
-38 -16 -20 0
7 1 -36 0
-26 17 35 0
34 -13 24 0
39 -35 -5 0
28 -18 39 0
-4 9 -36 0
-3 -26 -22 0
-34 -2 30 0
22 -28 30 0
34 2 4 0
1 24 -22 0
30 35 5 0
2 -32 23 0
11 26 37 0
17 -9 7 0
-24 -5 34 0
-38 -7 8 0
23 -16 -8 0
-2 21 -10 0
1 -9 -29 0
17 -23 39 0
-29 11 -36 0
-5 31 -34 0
-34 -33 -9 0
28 6 -29 0
28 -16 19 0
40 -22 -34 0
-23 -16 -18 0
-27 -11 38 0
-9 26 -6 0
-2 3 -27 0
30 33 -21 0
-14 2 13 0
