c instance by G2
c solution = 111101111101100001010110101110
p cnf 30 174 3
w 2 8 0 6 6 2 6 1 0 8 2 4 9 0 5 6 1 4 4 9 2 5 8 7 7 6 3 8 2 6 
11 -30 -3 0
8 -3 -13 0
4 12 11 0
2 23 15 0
28 4 12 0
-9 6 19 0
-16 30 -5 0
-28 -5 -17 0
-17 22 -26 0
-19 -7 11 0
12 22 -8 0
-30 21 1 0
25 -30 24 0
-12 -17 -9 0
29 27 17 0
21 17 -5 0
-14 -20 9 0
-15 1 -9 0
25 21 -6 0
6 9 -13 0
30 -16 -29 0
-1 -30 3 0
10 7 19 0
-30 -19 -11 0
-26 14 -9 0
18 -9 -19 0
-17 8 30 0
27 24 -3 0
-16 -23 -26 0
6 -9 -19 0
20 28 16 0
4 -23 -29 0
14 4 9 0
-23 -17 -2 0
-14 10 8 0
7 -4 -15 0
-14 7 -20 0
-15 -2 3 0
18 24 -2 0
-21 -30 22 0
17 -10 7 0
-11 25 -14 0
7 -13 -28 0
-27 12 -23 0
18 12 -10 0
27 30 -2 0
24 -6 -15 0
6 -16 13 0
18 8 -10 0
3 -28 -11 0
18 -5 -2 0
14 -29 -21 0
14 17 6 0
9 28 -23 0
1 -18 -6 0
-12 19 -15 0
19 5 2 0
-16 -14 24 0
-24 -2 -20 0
21 -2 -11 0
-28 25 -12 0
-4 17 22 0
-19 -8 13 0
1 17 -18 0
-4 10 -19 0
-27 -16 -29 0
-24 -5 -15 0
-3 16 20 0
5 -4 1 0
22 17 -20 0
4 13 -21 0
-7 4 -9 0
-22 30 -11 0
22 25 7 0
15 1 -14 0
-21 8 -29 0
-17 -12 27 0
-10 -14 -26 0
-26 20 -19 0
13 -1 9 0
6 17 -5 0
17 -14 -26 0
22 -24 -29 0
-14 -22 -17 0
6 10 4 0
9 -11 -29 0
-18 -24 -5 0
18 15 -17 0
-18 6 -19 0
-22 -19 16 0
4 -28 -13 0
-4 1 -5 0
-2 7 -1 0
-19 20 -6 0
19 -6 -21 0
-22 28 30 0
-2 -12 28 0
-11 17 24 0
9 -18 -14 0
29 17 15 0
13 -30 -11 0
8 -28 -19 0
-19 -15 -10 0
16 18 -30 0
7 -10 -13 0
6 -8 -13 0
7 -5 -16 0
19 -8 23 0
9 15 -22 0
2 11 25 0
24 -14 -9 0
8 -27 6 0
-28 -21 2 0
6 -15 -11 0
-9 15 -21 0
1 -21 -30 0
1 -8 26 0
23 -24 8 0
15 13 1 0
-23 29 -24 0
10 23 -21 0
3 -28 10 0
-28 -21 -10 0
24 28 -29 0
-28 -26 -22 0
-26 12 27 0
21 -19 -7 0
13 -30 16 0
-12 -10 -30 0
23 16 -11 0
9 -5 20 0
-23 -10 25 0
29 -11 4 0
8 2 -28 0
29 24 20 0
-25 2 -14 0
-12 -30 -23 0
-6 -27 22 0
-23 -7 25 0
10 -12 4 0
-29 3 -1 0
3 4 -21 0
-14 -7 -8 0
-24 -27 -13 0
26 -14 -28 0
18 27 -6 0
12 -13 -9 0
14 -15 25 0
21 12 15 0
-30 5 18 0
28 30 7 0
-19 -9 -16 0
-23 26 -14 0
29 7 22 0
30 5 -24 0
-7 23 -4 0
-1 -11 15 0
-5 -29 14 0
16 22 -15 0
27 25 29 0
-1 18 -24 0
21 -16 23 0
16 22 7 0
6 25 -2 0
10 18 -21 0
28 -1 24 0
-22 14 -11 0
13 -21 19 0
-24 -28 -2 0
3 -22 -4 0
18 -12 -30 0
-9 10 15 0
-2 -4 13 0
27 -28 -23 0
