c instance by G2
c solution = 00010100001100100011
p cnf 20 68 3
w 0 7 1 4 0 0 8 4 5 4 7 4 5 9 4 9 4 9 1 2 
17 11 -14 0
-2 -15 18 0
-16 7 15 0
8 -18 -19 0
19 -20 10 0
10 -16 14 0
-18 5 19 0
9 -14 19 0
1 -17 -8 0
-9 -17 -16 0
-10 11 -19 0
12 14 16 0
-16 15 -10 0
6 -5 9 0
8 4 17 0
-6 12 8 0
19 -11 -17 0
18 -6 -5 0
-1 -6 -20 0
-2 6 20 0
11 5 -14 0
-9 -18 -13 0
-8 12 -18 0
16 18 -8 0
-18 10 14 0
-5 7 -6 0
12 13 -9 0
-1 -10 7 0
-7 -4 13 0
5 -18 3 0
-15 -17 6 0
8 -1 -15 0
20 16 1 0
-12 13 6 0
16 -5 -12 0
-7 -5 8 0
3 -16 -11 0
15 6 12 0
8 11 1 0
7 -18 -17 0
-11 -6 19 0
10 -1 17 0
-11 -15 -17 0
-16 -20 15 0
-5 -9 19 0
-6 17 -3 0
14 -7 -10 0
3 9 -10 0
-11 -13 1 0
3 15 2 0
-7 2 -20 0
20 10 -5 0
-6 9 11 0
-20 -3 -10 0
-16 -15 -11 0
-11 -3 -20 0
-3 8 -5 0
-9 1 2 0
18 1 4 0
-11 -8 -12 0
2 -15 -18 0
-14 -4 9 0
-13 -16 -1 0
16 11 -8 0
-11 9 -13 0
7 12 -13 0
13 2 -10 0
3 -13 -6 0
