c instance by G2
c solution = 001010000101000000101001011101
p cnf 30 150 3
w 4 2 0 6 5 4 4 9 8 6 4 5 0 4 9 4 1 3 3 3 0 9 1 6 4 8 2 7 8 0 
3 26 -28 0
3 11 -24 0
-15 -6 -23 0
28 -1 -25 0
-22 -26 6 0
7 19 -28 0
27 -5 6 0
9 6 21 0
-3 27 9 0
-7 2 -12 0
14 -25 -23 0
-11 28 -12 0
-9 5 -20 0
14 5 -10 0
-3 24 -18 0
16 19 14 0
6 -3 5 0
-15 28 -17 0
-28 -11 -3 0
14 -1 22 0
20 6 -2 0
-29 10 11 0
26 9 -12 0
14 -21 -17 0
8 13 21 0
-5 -11 -17 0
13 4 10 0
28 15 10 0
1 -7 9 0
-24 11 -14 0
4 27 16 0
-1 -6 -19 0
15 -14 -28 0
17 -27 -25 0
14 4 -1 0
-3 -7 30 0
-9 28 7 0
-5 -8 13 0
27 9 6 0
-11 4 12 0
-30 9 -15 0
18 -16 -14 0
-29 13 -24 0
-11 29 -30 0
-13 -1 16 0
5 8 11 0
26 19 -1 0
-18 16 -27 0
23 30 -5 0
-4 -16 17 0
-2 18 -26 0
2 -20 -9 0
26 13 -3 0
16 -22 -27 0
7 5 18 0
5 -12 9 0
-12 -9 15 0
-9 26 28 0
-9 -26 2 0
2 3 -25 0
-24 -11 25 0
10 -18 -4 0
2 -9 -17 0
9 14 -13 0
-3 -6 7 0
-2 7 -14 0
2 11 30 0
-9 -8 -11 0
-24 -4 -5 0
8 -4 2 0
-3 23 26 0
-23 22 -28 0
-5 17 -18 0
-30 -13 -16 0
3 -26 -29 0
-29 -20 1 0
-13 -29 26 0
22 4 -25 0
-1 -7 15 0
-18 2 23 0
-25 -3 1 0
-19 -18 17 0
-2 24 27 0
21 13 -4 0
-23 5 -29 0
-7 -18 27 0
19 30 -10 0
-14 -22 3 0
6 19 20 0
-29 -30 -5 0
30 20 -26 0
-21 17 -23 0
-15 8 24 0
7 -16 -3 0
25 -1 27 0
-7 -9 -16 0
-11 -5 -21 0
-15 14 4 0
-23 22 -18 0
16 12 -17 0
-20 22 6 0
13 19 -10 0
-18 -11 -23 0
24 -8 -6 0
14 5 22 0
15 -5 12 0
-17 -13 -25 0
-18 10 12 0
12 -23 17 0
27 5 15 0
-5 7 -29 0
-27 -2 -19 0
21 13 -2 0
21 23 13 0
-1 22 -7 0
-13 18 -1 0
21 -8 -13 0
-16 24 -2 0
28 -26 8 0
-13 18 -23 0
-12 -13 7 0
7 -14 -5 0
23 7 28 0
-25 12 14 0
-13 25 10 0
-13 29 22 0
-5 9 -14 0
8 -29 -26 0
-24 28 -25 0
-7 18 -4 0
7 -21 -16 0
-5 -16 -17 0
-26 -29 -14 0
17 4 -13 0
-27 -15 17 0
-16 1 22 0
9 27 -15 0
-25 15 -2 0
-3 5 23 0
18 -6 3 0
-30 17 24 0
-21 13 -25 0
-18 -29 -5 0
3 -29 -4 0
-4 -28 2 0
-7 -8 23 0
28 -1 -4 0
-1 -28 20 0
20 29 -14 0
-27 28 -29 0
