c instance by G2
c solution = 101101010101011101100011100010111010010010010000101100101001
p cnf 60 168 3
w 1 2 5 2 2 4 1 6 0 0 2 4 8 9 7 5 4 6 0 1 0 6 2 9 0 6 7 1 6 9 3 7 7 5 4 6 7 8 5 2 9 8 8 9 8 8 6 1 4 8 1 7 8 5 3 5 7 5 9 6 
42 36 -27 0
-19 14 9 0
-27 -4 -50 0
39 -6 16 0
-17 -36 -33 0
46 -27 12 0
40 -2 59 0
-51 41 26 0
-50 45 -40 0
-6 3 -32 0
-15 -30 22 0
20 -60 23 0
-54 -9 5 0
-12 -59 43 0
-51 -20 -48 0
41 -2 34 0
-58 43 34 0
20 25 -6 0
-5 51 -50 0
-55 52 -43 0
60 -44 17 0
50 47 -46 0
56 13 -7 0
23 -49 -35 0
38 -13 18 0
11 -25 31 0
47 -20 -8 0
16 -60 -29 0
-28 -26 -60 0
52 41 -51 0
32 -34 8 0
41 13 1 0
3 53 58 0
-57 -50 42 0
-10 40 51 0
46 18 -44 0
23 15 19 0
47 44 -26 0
-12 -52 -34 0
-55 46 44 0
-26 -33 -40 0
11 -26 -23 0
-12 18 -32 0
5 45 32 0
-42 -11 33 0
-5 53 51 0
-32 -41 -56 0
35 8 32 0
-15 -28 39 0
26 30 51 0
-50 -8 5 0
-43 -47 49 0
46 -44 -53 0
-35 25 37 0
52 -33 -29 0
10 -59 -32 0
54 29 -28 0
-32 16 -38 0
-52 42 -22 0
-41 21 19 0
-52 55 39 0
59 51 36 0
6 -33 26 0
48 -32 23 0
2 -43 20 0
-18 30 -43 0
-43 51 -50 0
36 51 21 0
34 57 -42 0
-44 40 4 0
10 -9 -53 0
51 55 1 0
-38 -30 -24 0
-49 14 -3 0
-49 -38 -34 0
-15 47 -2 0
-53 4 -36 0
3 2 22 0
39 -41 -11 0
-52 -27 -41 0
-4 -46 -59 0
36 -51 12 0
58 -44 -53 0
22 17 -11 0
40 -39 57 0
-1 -31 -28 0
-44 29 48 0
-40 44 -35 0
-30 -37 12 0
14 34 48 0
59 55 -11 0
25 53 -34 0
28 -45 -44 0
-53 -10 3 0
16 60 14 0
58 44 -60 0
-60 -47 -55 0
34 32 25 0
55 -25 18 0
6 11 -19 0
-2 31 50 0
-55 -28 41 0
-13 -17 39 0
15 -13 47 0
-39 27 -1 0
30 34 33 0
5 22 -20 0
-34 6 14 0
9 39 -48 0
-45 44 -25 0
-44 1 39 0
-36 -51 -19 0
11 -52 14 0
-50 10 -52 0
49 53 -28 0
-46 14 -4 0
-21 -25 -33 0
-42 26 27 0
-5 -25 -17 0
1 -48 -4 0
32 49 -43 0
20 7 -5 0
-5 20 43 0
40 59 14 0
21 8 -60 0
12 -56 44 0
-50 37 -60 0
-34 -50 37 0
11 -36 -17 0
54 10 -8 0
5 60 15 0
37 1 47 0
-44 49 -3 0
-31 48 38 0
18 41 -5 0
3 23 47 0
-13 -43 -53 0
48 -18 -54 0
6 15 -26 0
-27 -14 40 0
53 -17 -60 0
-28 13 -58 0
-19 53 8 0
-17 43 42 0
17 35 36 0
-40 -38 53 0
24 36 11 0
-24 7 -37 0
-57 4 1 0
-23 39 -2 0
15 40 28 0
-43 -55 28 0
-16 -5 24 0
-6 45 -13 0
27 1 21 0
-20 -34 -3 0
-2 -52 31 0
26 -47 9 0
27 -4 -45 0
5 -23 60 0
39 -42 -52 0
26 -9 13 0
-38 27 57 0
-23 49 -31 0
-43 31 -59 0
-33 19 37 0
55 26 -17 0
-46 -7 47 0
