c instance by G2
c solution = 00000000010101100001000011011010110110001111110000
p cnf 50 60 3
w 1 7 0 1 7 0 1 9 4 6 9 7 9 4 1 6 6 8 4 8 7 4 6 6 6 1 7 7 4 3 1 9 6 5 8 1 5 2 1 7 0 5 2 1 4 2 0 1 3 1 
-15 -40 -43 0
-45 16 -47 0
16 2 14 0
18 -23 35 0
21 -20 44 0
-41 -33 10 0
39 -2 16 0
9 -11 40 0
-1 19 7 0
-17 44 -37 0
-14 23 -30 0
-14 -35 -42 0
28 3 11 0
36 -46 -29 0
-7 -42 5 0
43 18 -42 0
29 32 -33 0
-45 -35 -9 0
49 -41 -48 0
22 39 46 0
-50 3 -33 0
-26 -17 -42 0
-45 -43 37 0
4 -43 -9 0
42 -43 39 0
22 6 25 0
32 49 -8 0
-23 4 13 0
-26 30 -24 0
45 15 29 0
31 32 11 0
45 8 11 0
-18 -43 -42 0
-32 11 6 0
33 39 -41 0
-27 9 -46 0
-14 -24 36 0
32 -36 -13 0
-22 -43 32 0
-10 -4 -14 0
-21 4 5 0
18 47 -19 0
49 8 -35 0
-12 34 -26 0
33 -49 40 0
17 23 -39 0
-5 39 38 0
-38 9 49 0
-12 10 38 0
46 -15 24 0
18 41 27 0
-6 39 4 0
-3 -34 2 0
13 26 -28 0
-46 -16 -36 0
9 26 -20 0
-42 20 -14 0
15 22 2 0
-26 38 -49 0
5 -43 12 0
