c instance by G2
c solution = 001010000101000000101001011101
p cnf 30 138 3
w 3 4 7 6 1 5 1 4 3 3 3 1 1 7 9 5 5 7 4 9 9 0 2 4 0 2 1 2 8 1 
5 -12 9 0
-11 29 -30 0
15 -14 -28 0
-4 -28 2 0
15 -30 -11 0
14 5 22 0
-2 7 -14 0
4 -26 -6 0
20 25 21 0
14 4 -2 0
-27 -2 -19 0
-23 5 -29 0
9 14 -13 0
9 2 27 0
18 -16 -14 0
28 -1 -4 0
-13 18 -1 0
23 -4 22 0
23 7 28 0
8 -29 -26 0
6 19 20 0
28 15 10 0
-1 22 -7 0
26 19 -1 0
-24 28 -25 0
-9 26 28 0
-7 -9 -16 0
-15 -6 -23 0
14 4 -1 0
-2 18 -26 0
-5 9 -14 0
25 -1 -12 0
-9 14 23 0
-23 1 -24 0
16 12 -17 0
-14 11 25 0
-23 22 -18 0
-17 -13 -25 0
3 -29 -4 0
-7 2 -12 0
-18 2 23 0
-15 8 24 0
13 28 -12 0
14 -1 22 0
2 -20 -9 0
-18 16 -27 0
26 9 -12 0
8 -4 2 0
-11 28 -12 0
20 29 -14 0
-29 22 13 0
-13 -29 26 0
18 -6 3 0
23 30 -5 0
-29 -30 -5 0
3 -26 -29 0
-24 -16 8 0
-1 -6 -19 0
-9 5 -20 0
-7 -18 27 0
-5 -11 -17 0
-12 20 -8 0
7 29 26 0
-21 13 -25 0
-3 -15 1 0
7 -16 -3 0
25 -13 15 0
7 -24 3 0
9 6 21 0
9 27 -15 0
1 -5 10 0
-16 24 -2 0
-3 27 9 0
21 -8 -13 0
22 4 -25 0
30 20 -26 0
-16 1 22 0
17 4 -13 0
26 13 -3 0
-29 -20 1 0
15 18 30 0
-11 -5 -21 0
5 1 11 0
21 13 -4 0
-20 14 8 0
-28 -22 -10 0
-13 25 10 0
2 3 -25 0
-13 29 22 0
-3 5 23 0
-27 28 -29 0
27 5 15 0
2 -9 -17 0
3 26 -28 0
12 -23 17 0
4 27 16 0
-4 -16 17 0
21 13 -2 0
-26 -29 -14 0
10 -18 -4 0
-18 23 -30 0
-30 9 -15 0
-2 24 27 0
28 -1 -25 0
-9 -8 -11 0
25 -1 27 0
6 -3 5 0
-18 -29 -5 0
-30 -13 -16 0
8 12 23 0
-29 13 -24 0
18 20 -25 0
-24 11 -14 0
7 19 -28 0
-13 -1 16 0
-7 18 -4 0
-5 24 7 0
-14 -22 3 0
-28 -11 -3 0
-5 17 -18 0
19 30 -10 0
27 9 6 0
-18 -11 -23 0
-12 -9 15 0
14 -25 -23 0
-3 24 -18 0
-5 -16 -17 0
5 8 11 0
-29 10 11 0
15 17 19 0
-15 28 -17 0
-9 28 7 0
-22 -26 6 0
6 -17 -3 0
13 19 -10 0
14 5 -10 0
21 23 13 0
18 15 -7 0
