c instance by G2
c solution = 101110110111110100010101010001110111001100011010001111000101
p cnf 60 240 3
w 0 6 7 9 1 4 9 1 2 7 1 8 6 4 8 3 0 1 6 9 5 1 4 4 0 4 1 3 2 3 5 0 7 9 3 4 7 1 2 6 1 4 8 9 3 5 8 6 6 8 4 6 2 1 1 9 5 0 4 8 
52 -32 35 0
-9 58 -28 0
-60 32 48 0
-19 38 13 0
-4 -14 40 0
35 -49 42 0
55 -17 -47 0
41 -42 44 0
55 -25 7 0
-23 -33 -16 0
-50 15 28 0
31 -59 -16 0
7 46 12 0
-60 -5 22 0
-39 56 11 0
12 23 -59 0
-41 27 1 0
-23 -9 -27 0
7 55 10 0
-36 -23 -12 0
54 -2 33 0
-59 -8 27 0
5 -55 47 0
-42 -32 60 0
44 -39 -25 0
47 -7 -26 0
-5 -30 12 0
-18 9 58 0
-38 -23 4 0
-58 -20 35 0
-11 31 15 0
-9 57 3 0
60 -54 -22 0
-55 31 47 0
52 13 18 0
32 -60 15 0
7 6 -20 0
19 -3 24 0
-24 -17 43 0
-15 -14 -30 0
16 33 -52 0
14 -16 2 0
48 -7 4 0
41 12 57 0
52 -58 7 0
-57 33 46 0
50 9 -59 0
-5 32 30 0
-24 33 -27 0
14 -44 38 0
26 36 40 0
39 57 55 0
57 -25 54 0
-5 -35 -28 0
-40 3 -24 0
22 -38 13 0
-21 56 -44 0
-58 -59 -14 0
29 -18 -25 0
-11 37 16 0
-60 -39 20 0
2 36 17 0
36 -19 -44 0
4 -12 -19 0
-57 -7 -18 0
5 57 21 0
-17 9 13 0
-46 53 -60 0
20 -26 58 0
43 2 -25 0
45 -36 -52 0
2 37 -18 0
46 -4 -43 0
-11 26 -28 0
-18 -25 16 0
-17 34 -48 0
56 -33 -37 0
24 -25 59 0
-3 52 48 0
8 -57 -38 0
-51 60 -53 0
30 4 -50 0
-25 -28 19 0
-56 -4 -36 0
-6 33 28 0
-57 1 11 0
-29 -6 43 0
60 -55 58 0
-15 -16 -13 0
20 -26 55 0
17 -19 -12 0
-28 12 -45 0
13 -30 2 0
-18 45 -20 0
-53 -55 -33 0
-8 -2 -30 0
-29 11 -56 0
25 19 24 0
20 -8 30 0
-57 32 53 0
46 -19 -39 0
-30 40 10 0
-29 50 51 0
-41 42 46 0
21 -49 59 0
-55 31 32 0
17 -16 44 0
23 58 45 0
-3 39 -21 0
-20 10 15 0
-39 -49 -53 0
-10 -49 13 0
-7 24 10 0
32 59 1 0
5 41 -8 0
55 32 3 0
21 -19 -59 0
17 -20 34 0
-57 20 -44 0
-44 -29 28 0
-17 55 -34 0
33 1 -5 0
-42 2 -35 0
39 -49 -40 0
30 7 8 0
29 53 -26 0
-49 -26 -22 0
-43 35 -27 0
-11 33 13 0
22 -58 -51 0
-46 -44 43 0
23 52 -54 0
58 27 42 0
1 -4 -59 0
-48 46 -21 0
-32 -37 5 0
26 -25 5 0
-50 43 -60 0
7 -1 -53 0
47 -23 12 0
16 60 41 0
23 -49 15 0
-6 13 50 0
-33 -39 21 0
25 52 15 0
46 -19 6 0
-57 -60 -38 0
39 -30 -44 0
37 51 -26 0
31 29 4 0
-36 -4 -21 0
-21 54 -23 0
-23 2 56 0
13 -39 -21 0
47 -8 -51 0
47 -45 58 0
36 38 1 0
-3 56 5 0
3 -6 45 0
-54 -23 60 0
-10 -41 28 0
-47 40 -57 0
-3 -45 47 0
12 -47 57 0
23 34 -57 0
42 -19 -32 0
-12 30 -54 0
31 -41 50 0
18 32 50 0
16 26 -20 0
-57 -5 50 0
-45 54 -13 0
-23 8 -26 0
-9 23 -15 0
19 -30 24 0
-47 1 24 0
27 3 -19 0
49 -38 27 0
-53 -59 -16 0
-10 -20 -29 0
-42 37 46 0
-13 8 -31 0
-3 53 15 0
-6 -32 -30 0
-47 -13 -19 0
-59 -7 -5 0
29 -31 44 0
17 47 33 0
-55 10 19 0
-17 -31 57 0
24 38 44 0
36 -21 40 0
-37 -54 -28 0
49 26 48 0
-24 -23 57 0
18 58 -4 0
-28 59 -3 0
42 22 -36 0
-20 -9 -35 0
-14 51 2 0
-16 32 23 0
-39 1 30 0
-28 -36 34 0
7 41 8 0
8 21 43 0
-4 -17 -3 0
57 -55 -24 0
-21 28 -8 0
26 25 21 0
7 37 28 0
-20 -8 3 0
26 -52 45 0
-47 42 -28 0
53 -15 -47 0
-15 2 -7 0
6 -48 25 0
-12 23 -43 0
-39 -10 31 0
-43 -47 -60 0
-54 42 8 0
5 49 37 0
55 35 21 0
-40 53 -24 0
-37 -22 -45 0
16 33 11 0
1 -31 -11 0
34 49 19 0
-40 34 50 0
57 34 16 0
16 -51 -49 0
-2 -33 25 0
-28 -50 -52 0
54 27 47 0
45 -2 42 0
-36 -6 54 0
-21 32 53 0
-32 22 -21 0
41 25 53 0
-10 54 -27 0
11 29 3 0
