c instance by G2
c solution = 00010100001100100011
p cnf 20 72 3
w 5 4 7 4 5 9 4 9 4 9 1 2 7 9 9 3 6 9 7 8 
-16 -20 15 0
-4 -18 11 0
-11 9 -13 0
2 -15 -17 0
3 9 -10 0
2 -1 12 0
6 -5 9 0
-18 -20 10 0
-3 2 -20 0
-1 -6 -20 0
10 15 14 0
12 14 16 0
-3 8 -5 0
-1 10 -17 0
17 11 -14 0
-16 -15 -11 0
8 11 1 0
3 -14 2 0
16 18 -8 0
10 14 -7 0
7 -18 -17 0
19 16 1 0
-9 -18 -13 0
19 -11 -17 0
-6 9 -10 0
16 -1 -12 0
-5 7 -6 0
-7 -5 8 0
12 13 -9 0
-11 12 1 0
-10 11 -19 0
18 -6 -5 0
-11 -15 -16 0
-8 10 -20 0
7 12 -13 0
3 -16 -11 0
15 6 12 0
18 1 4 0
5 -18 3 0
-8 12 -18 0
-13 -16 -1 0
11 5 -14 0
-20 -3 -10 0
-18 5 19 0
-20 -8 -17 0
14 -7 -10 0
6 1 2 0
1 -17 -8 0
3 -13 -6 0
-2 6 20 0
-6 11 8 0
-11 -6 19 0
-7 -4 13 0
-1 -10 7 0
-16 7 15 0
20 10 -5 0
8 -18 -19 0
-11 4 -12 0
-5 -9 19 0
-5 -20 9 0
-15 -17 6 0
-12 13 -2 0
-16 15 -10 0
-9 -17 -16 0
-6 17 -3 0
13 2 -9 0
8 -1 -15 0
-18 10 14 0
-13 -4 9 0
9 -14 19 0
20 3 1 0
16 11 -8 0
