c instance by G2
c solution = 1001110101010110010111100110010100001111
p cnf 40 208 3
w 0 8 6 7 9 2 2 4 8 2 6 3 4 2 4 3 1 7 9 4 9 2 1 8 7 3 4 8 6 2 7 6 4 1 5 8 4 8 4 1 
-15 -7 9 0
13 -22 -28 0
-22 -24 -33 0
-10 -13 -20 0
-6 -34 23 0
4 -21 -20 0
26 36 9 0
-3 9 35 0
-12 -11 -30 0
19 -24 -20 0
25 7 -17 0
-34 7 -32 0
-3 -19 12 0
40 -10 -36 0
-30 9 -16 0
19 30 -17 0
10 -25 -23 0
27 -12 19 0
-18 23 28 0
-14 38 17 0
39 18 -30 0
-25 -1 24 0
-2 12 39 0
38 13 8 0
3 32 31 0
8 9 -23 0
1 26 17 0
4 27 12 0
23 18 34 0
-35 4 -18 0
-8 40 14 0
25 -15 8 0
-11 -16 31 0
1 -34 -11 0
-16 23 -31 0
-24 17 31 0
-6 15 9 0
-26 -9 -21 0
-23 -28 33 0
-17 -37 36 0
-4 -25 -21 0
28 -20 12 0
-28 29 22 0
-10 -37 -31 0
4 -30 16 0
10 19 -4 0
17 10 -34 0
40 22 -33 0
-11 -18 38 0
37 1 31 0
-37 32 9 0
30 33 16 0
37 31 9 0
26 9 -37 0
23 -28 -20 0
2 -7 34 0
24 38 33 0
32 9 -37 0
17 -39 -16 0
27 1 -13 0
14 27 -12 0
-28 33 36 0
31 -32 -16 0
15 -12 -20 0
-35 -19 -39 0
12 -37 -3 0
-26 7 10 0
36 28 -34 0
-28 13 -38 0
8 30 -38 0
38 -2 -24 0
33 -19 14 0
27 32 -9 0
38 -26 -15 0
20 24 22 0
35 -31 -25 0
-2 28 7 0
11 -33 16 0
39 -21 -7 0
-30 -35 -12 0
6 32 23 0
-18 26 34 0
-3 14 21 0
-24 29 19 0
-28 11 23 0
39 33 26 0
35 1 27 0
25 -22 -13 0
16 -7 33 0
-31 -27 -32 0
5 30 27 0
-18 -6 -7 0
16 -34 18 0
-4 7 -31 0
20 32 18 0
23 -39 -20 0
18 -14 -38 0
8 17 -34 0
12 -5 -6 0
-16 -37 19 0
37 28 -40 0
-30 7 15 0
-32 -35 9 0
-27 6 17 0
-33 37 31 0
-36 25 31 0
1 -29 -23 0
33 -24 -12 0
23 16 32 0
-21 1 31 0
12 2 32 0
-13 -23 -19 0
-39 4 9 0
15 19 22 0
6 32 17 0
-14 40 -21 0
-14 -23 -2 0
22 25 36 0
31 -7 -28 0
37 -28 -14 0
-32 -16 14 0
-29 32 -38 0
-14 39 28 0
-38 24 -34 0
31 -23 18 0
-8 4 -12 0
-25 -24 13 0
38 -6 36 0
-18 21 -37 0
-29 -27 -5 0
25 5 2 0
-25 39 -26 0
5 -10 -18 0
26 -9 23 0
18 39 -17 0
-36 -4 11 0
-19 -35 17 0
-8 10 -38 0
27 -8 -17 0
22 25 -14 0
34 -9 7 0
-25 16 -38 0
9 40 -17 0
-31 -15 17 0
-10 30 20 0
18 -20 -22 0
10 23 14 0
-29 8 -36 0
-20 -13 31 0
31 -35 36 0
19 15 9 0
10 -33 -23 0
31 15 -37 0
29 31 -16 0
3 -37 14 0
11 -6 -9 0
24 26 -29 0
5 19 -20 0
-29 -30 -10 0
25 37 -10 0
12 -34 16 0
-2 -28 -14 0
-33 -22 -29 0
13 27 6 0
11 3 8 0
16 20 11 0
-24 -21 -6 0
21 5 20 0
-4 33 8 0
12 3 39 0
8 -35 -40 0
15 -1 22 0
-24 4 10 0
32 9 10 0
-22 -34 28 0
14 -1 -40 0
-30 15 -4 0
-14 28 -7 0
-9 38 40 0
17 -11 -21 0
27 -33 5 0
-16 -33 7 0
33 25 -16 0
-20 12 -25 0
-28 37 31 0
32 11 26 0
22 21 26 0
24 5 -34 0
26 21 16 0
11 7 -24 0
-8 -37 -3 0
-33 7 28 0
14 -15 -1 0
-34 -27 -1 0
-34 -36 -9 0
-29 24 4 0
32 -39 -3 0
-14 -19 23 0
33 36 -19 0
10 35 -36 0
-7 -20 -3 0
-13 -35 -5 0
2 27 -34 0
29 12 -15 0
5 -27 39 0
-4 38 -14 0
-27 22 -11 0
22 31 26 0
