c instance by G2
c solution = 00010100001100100011
p cnf 20 64 3
w 5 1 9 5 7 4 2 0 8 6 8 8 2 5 8 8 0 9 7 0 
-11 -6 19 0
18 1 6 0
17 11 -14 0
-5 -9 19 0
3 -2 -11 0
13 1 -5 0
-7 16 1 0
-11 9 -13 0
-16 -15 -11 0
8 -18 -19 0
-18 10 14 0
16 18 -8 0
-1 -10 7 0
-14 -20 9 0
-11 -13 -12 0
-3 -12 14 0
-20 -3 -10 0
10 14 -16 0
12 2 -20 0
-16 7 15 0
10 -9 17 0
13 2 -18 0
-8 12 -18 0
-16 15 -10 0
6 -5 9 0
-18 5 19 0
3 -16 -11 0
-2 6 20 0
16 11 -8 0
12 13 -9 0
8 11 17 0
-13 -16 -1 0
-6 20 8 0
12 14 16 0
-10 11 -19 0
-6 9 19 0
-17 10 -20 0
1 -17 -8 0
19 -11 -17 0
18 -6 -5 0
7 -18 -17 0
3 9 -10 0
9 -14 19 0
-10 -15 18 0
-16 -20 15 0
15 6 12 0
8 -1 -15 0
-9 -18 -13 0
14 -7 -10 0
-3 8 -5 0
20 10 -5 0
-7 -4 13 0
-8 -4 1 0
3 -13 -6 0
-7 -5 8 0
-15 -17 6 0
-1 -6 -20 0
-5 7 -6 0
4 -6 -12 0
15 1 2 0
8 11 1 0
-6 -1 17 0
18 1 4 0
-9 -17 -16 0
