c instance by G2
c solution = 01011110110110110010011100010100000111111010101000
p cnf 50 130 3
w 2 9 2 9 1 4 6 0 9 9 6 0 9 3 3 9 2 6 4 3 3 8 8 8 9 7 8 5 2 7 9 6 5 4 0 4 4 5 8 4 9 7 5 6 3 7 5 3 2 8 
-28 36 -24 0
41 -15 31 0
50 -11 -12 0
-31 27 -22 0
-18 8 32 0
-10 45 -4 0
1 -11 28 0
49 -8 34 0
-23 17 -29 0
33 -47 -14 0
-7 -12 -29 0
6 -45 23 0
-29 -41 -5 0
-44 9 -38 0
11 -3 20 0
-31 43 -46 0
38 -5 1 0
-10 20 -34 0
-47 35 4 0
-38 10 8 0
-33 48 -4 0
31 35 19 0
10 19 47 0
-12 24 -33 0
-6 43 1 0
-49 -37 1 0
-38 8 4 0
-38 -23 30 0
2 3 -7 0
22 -50 -1 0
-39 6 18 0
22 -35 -37 0
10 -31 20 0
47 -7 14 0
43 4 -46 0
-37 30 11 0
13 -25 -37 0
-45 9 -16 0
26 11 22 0
47 45 -3 0
-37 -38 7 0
18 14 28 0
-24 -21 -2 0
-5 31 -32 0
-9 14 19 0
-29 -2 -48 0
-20 -49 -33 0
-33 -20 -1 0
-9 -46 11 0
33 23 44 0
-4 22 31 0
41 46 6 0
-16 -13 39 0
-9 42 -21 0
-10 -39 -46 0
-38 7 3 0
-18 50 12 0
-28 29 4 0
-41 -11 27 0
7 27 -33 0
28 12 -36 0
42 12 17 0
-35 14 -49 0
-26 22 -39 0
28 -44 -24 0
32 28 -39 0
-3 27 -2 0
-44 -37 -10 0
27 -35 -12 0
41 -26 -15 0
29 -26 -41 0
19 4 -20 0
-12 6 37 0
38 42 17 0
-6 -45 -27 0
24 -15 -40 0
46 -20 -36 0
-28 -19 -35 0
12 13 19 0
-15 14 -29 0
48 -17 -3 0
34 -29 50 0
36 -19 -12 0
25 -32 18 0
-2 -24 -50 0
34 -39 36 0
-44 50 31 0
-14 27 33 0
-37 -1 11 0
24 22 26 0
-21 20 50 0
-2 -44 -12 0
15 50 -7 0
-36 24 -45 0
-30 -17 -45 0
-25 -42 -10 0
46 -47 -11 0
6 -25 1 0
10 -38 44 0
45 -35 44 0
12 44 33 0
11 -17 25 0
-11 38 -3 0
-10 40 24 0
-43 -11 7 0
10 3 -9 0
44 -18 -34 0
28 47 -4 0
44 35 13 0
-5 -49 1 0
-50 -32 47 0
5 -11 -17 0
-8 -35 -44 0
-10 -25 49 0
-4 -41 -48 0
6 -48 14 0
-39 -50 -9 0
-42 -22 -6 0
-48 -16 17 0
-13 -10 -50 0
37 -19 18 0
26 10 43 0
-37 5 -28 0
29 -25 35 0
-9 16 -15 0
3 -35 20 0
44 43 -3 0
46 -4 -50 0
-8 44 -33 0
40 -12 46 0
