c instance by G2
c solution = 1111011111011000010101101011101111010100
p cnf 40 48 3
w 8 7 7 7 4 8 0 1 3 4 1 6 3 3 9 4 7 5 1 6 9 2 4 7 0 2 4 8 3 3 6 6 7 9 6 6 5 5 1 7 
18 -28 -31 0
17 2 -28 0
5 -40 -32 0
-4 -16 -12 0
35 -39 21 0
-7 37 31 0
-14 -27 17 0
-31 32 -27 0
-29 -30 14 0
-21 -4 27 0
1 19 -38 0
-11 -23 39 0
30 -4 -35 0
-4 -23 22 0
14 13 15 0
-12 -8 -40 0
34 24 5 0
26 -15 19 0
5 33 26 0
37 29 35 0
24 38 -12 0
-17 37 40 0
-6 25 -3 0
20 -1 35 0
-20 -31 28 0
-31 20 35 0
27 35 11 0
-38 -26 -2 0
35 4 -12 0
9 26 -27 0
6 -25 39 0
-5 13 24 0
-19 7 40 0
23 -8 -29 0
-1 -21 -28 0
-33 -32 -5 0
26 7 40 0
-1 3 11 0
-2 -13 -40 0
-10 13 -28 0
-20 -13 -37 0
24 12 -28 0
-20 7 -38 0
10 40 -4 0
40 -24 -38 0
36 -31 11 0
-34 35 -19 0
30 -38 8 0
