c instance by G2
c solution = 000000000101101100111100001101000010011111000000101110000000
p cnf 60 60 3
w 9 8 0 1 4 2 6 3 5 1 0 4 8 5 6 9 6 7 9 1 3 9 0 5 0 4 9 9 4 7 6 7 8 7 6 1 6 4 4 8 7 5 5 9 9 8 0 3 1 9 7 5 8 7 7 9 7 6 4 0 
-48 -12 -42 0
-30 -33 37 0
55 -5 -16 0
37 22 17 0
-59 -22 50 0
43 -20 -25 0
55 39 11 0
30 47 -40 0
59 9 -43 0
45 16 7 0
38 -30 -10 0
-53 34 -26 0
49 -53 -10 0
29 -4 -10 0
47 -14 44 0
-23 9 -28 0
23 -51 35 0
56 51 -53 0
24 -18 36 0
-27 18 12 0
-60 55 56 0
-20 28 -52 0
-58 50 -49 0
-1 23 -49 0
18 -54 17 0
26 10 23 0
14 -22 -36 0
-9 33 -53 0
-47 -49 9 0
3 27 31 0
36 -28 -55 0
7 6 -29 0
-17 59 47 0
5 -13 -37 0
-56 -12 25 0
36 56 -50 0
-53 -31 -19 0
34 57 -32 0
-49 54 -46 0
57 -42 -6 0
-2 57 -28 0
-49 -11 -10 0
-27 19 1 0
53 32 -12 0
17 13 3 0
32 -57 25 0
54 -15 -3 0
24 25 42 0
15 -10 4 0
-7 -16 24 0
-8 4 9 0
20 60 3 0
-34 58 9 0
-13 -10 41 0
-12 -45 31 0
47 52 -35 0
47 -44 18 0
-27 40 17 0
46 34 -24 0
59 21 -40 0
