c instance by G2
c solution = 00000000010110110011110000110100001001111100000010
p cnf 50 280 3
w 8 3 8 5 1 0 6 9 7 5 0 0 6 4 4 8 1 9 4 7 6 9 2 5 5 6 9 2 8 9 7 8 9 7 9 4 9 9 3 0 8 0 0 3 0 2 1 6 4 5 
21 12 -36 0
44 12 37 0
7 -50 5 0
-19 -9 20 0
-30 -22 19 0
21 35 -37 0
32 -35 -2 0
-19 -3 -4 0
19 -31 -11 0
-36 -44 40 0
-3 43 50 0
23 6 13 0
31 -40 -4 0
-13 43 -47 0
-36 8 -47 0
-47 24 -22 0
-29 -23 -18 0
18 -8 -13 0
-29 47 -17 0
-29 -46 -9 0
9 41 4 0
12 22 50 0
-12 43 39 0
-2 49 -44 0
33 -13 -26 0
-47 16 30 0
-30 19 -6 0
10 -25 46 0
-43 11 2 0
-36 11 -19 0
-14 46 -7 0
-24 9 8 0
18 36 -37 0
-24 -14 -26 0
16 -31 -40 0
28 42 -9 0
-37 -49 38 0
-31 23 -49 0
-9 12 6 0
-33 -47 -6 0
-37 22 -19 0
-40 -16 -36 0
49 -9 -12 0
43 -17 14 0
15 -39 42 0
-22 20 24 0
3 38 44 0
23 24 16 0
4 -12 -14 0
-28 39 -45 0
-44 16 -47 0
15 25 14 0
-17 -49 32 0
-46 -35 -48 0
-42 -24 -36 0
-38 35 15 0
-30 -46 5 0
-12 -40 -37 0
24 33 16 0
-6 -16 43 0
46 27 25 0
-43 -44 -25 0
27 22 -29 0
3 -34 4 0
-27 -39 20 0
10 -49 -14 0
43 44 10 0
30 14 29 0
21 24 18 0
-29 15 -10 0
-10 31 21 0
-36 -23 -9 0
-13 -50 -29 0
50 -39 -9 0
38 37 7 0
10 16 -48 0
-7 -41 11 0
29 33 22 0
-21 35 38 0
39 -50 20 0
-25 18 32 0
-26 14 36 0
-7 -40 8 0
-44 -33 -10 0
-29 7 -28 0
39 12 6 0
-42 -8 -36 0
-37 42 -4 0
-33 -41 40 0
-4 -38 46 0
14 -4 16 0
29 -49 -34 0
18 21 47 0
34 -23 28 0
-40 -6 -8 0
-16 -13 -7 0
-45 -13 -19 0
46 2 16 0
-18 40 -39 0
15 9 -49 0
46 49 -33 0
6 -46 -47 0
-14 -3 40 0
-16 18 10 0
5 -43 -41 0
49 -42 -16 0
2 -25 3 0
-3 -8 -6 0
25 1 -46 0
-42 31 -48 0
31 1 -18 0
3 32 -23 0
-25 32 4 0
16 21 -43 0
-35 41 -10 0
20 6 15 0
-44 -46 3 0
-21 -40 -47 0
-43 6 9 0
-44 2 -39 0
-33 -42 24 0
-25 22 30 0
-7 -16 -18 0
1 -47 -35 0
-43 41 -17 0
47 9 -25 0
-44 -21 8 0
48 23 -43 0
18 10 6 0
-23 -13 -29 0
35 38 24 0
-13 -31 -1 0
-27 19 -47 0
-8 -33 -32 0
19 -40 -7 0
20 23 25 0
-43 4 5 0
-39 11 -37 0
-22 28 23 0
24 -34 -19 0
-41 25 -33 0
-31 15 10 0
-31 38 46 0
1 -29 -26 0
-12 -5 -16 0
31 14 -6 0
43 5 -18 0
29 -11 45 0
42 -7 -26 0
-19 -43 18 0
-46 21 45 0
19 -35 -13 0
-32 25 36 0
-25 5 -39 0
-39 9 -7 0
-42 -43 44 0
4 -32 48 0
12 24 -37 0
-32 -44 7 0
-48 3 -30 0
49 26 10 0
38 2 26 0
26 34 -50 0
27 -44 47 0
13 42 33 0
20 -13 -3 0
30 22 40 0
8 42 -13 0
50 1 -18 0
-21 -47 7 0
-50 48 22 0
17 -19 -46 0
-24 -28 44 0
46 -5 -15 0
6 46 -32 0
37 -1 16 0
50 -17 30 0
-44 -20 -23 0
-3 26 -16 0
23 -5 3 0
12 42 -10 0
35 -25 38 0
-47 2 19 0
19 44 48 0
-24 -37 23 0
-10 -15 35 0
40 -8 45 0
13 -14 33 0
28 32 -31 0
47 -36 19 0
20 -35 -31 0
-12 -44 49 0
-18 -42 4 0
26 -10 -9 0
-41 35 -45 0
19 14 -10 0
-12 -44 35 0
-47 -33 -6 0
38 32 7 0
-16 49 -41 0
-6 -20 38 0
-4 44 -36 0
-24 -14 -3 0
45 -47 32 0
-22 -2 43 0
-14 -5 50 0
-18 -5 -16 0
27 -4 -12 0
-33 -30 37 0
-34 26 37 0
-4 36 34 0
17 -25 -28 0
-27 -47 -41 0
6 -34 27 0
-39 6 19 0
-31 34 -38 0
40 -49 -41 0
-21 -2 41 0
17 -23 34 0
20 -2 42 0
-30 35 33 0
-1 -30 9 0
-5 45 1 0
26 41 -8 0
-41 -30 -7 0
29 -8 -45 0
6 49 3 0
-29 18 10 0
41 48 23 0
-12 42 45 0
-6 -41 -15 0
19 -33 -29 0
-34 -2 -3 0
47 -26 -4 0
48 -33 38 0
-49 -14 33 0
-19 -47 28 0
-14 -9 -44 0
-40 30 34 0
48 -14 -7 0
-13 -41 -6 0
-5 -40 -22 0
-27 -4 33 0
-29 4 -40 0
-26 20 -23 0
-6 -31 -44 0
1 -48 -26 0
41 43 26 0
-13 42 2 0
18 -21 -8 0
4 49 -19 0
-30 -49 15 0
19 12 6 0
-28 -12 -25 0
-32 47 -24 0
-29 -2 -35 0
-49 10 25 0
-37 -15 22 0
-22 37 -31 0
4 -7 -24 0
-2 32 23 0
24 -2 -18 0
-16 20 18 0
-10 -8 28 0
33 -8 -25 0
-18 -46 -11 0
-14 37 48 0
-38 -40 -2 0
18 15 -28 0
1 -48 -38 0
46 45 30 0
-1 32 -22 0
49 -16 41 0
-32 -41 48 0
-43 50 1 0
-21 20 10 0
6 16 5 0
-48 -27 46 0
-4 -19 5 0
24 10 48 0
