c instance by G2
c solution = 011010101111010100111010101011001011110011001010000111100101
p cnf 60 312 3
w 2 6 5 4 2 1 4 7 7 4 5 0 8 6 1 6 2 9 0 1 5 8 4 3 3 4 2 2 8 6 3 2 5 8 4 2 2 9 9 2 6 8 7 0 2 0 5 4 1 6 2 6 6 0 6 4 4 4 8 9 
-16 -60 -24 0
39 -2 36 0
27 21 -32 0
13 8 -43 0
-47 -26 28 0
-19 -8 41 0
-8 55 35 0
27 -49 38 0
37 18 51 0
45 -31 -42 0
11 -43 -2 0
55 39 -37 0
-31 -48 -47 0
-36 -22 21 0
-7 -30 -15 0
23 -11 -22 0
51 39 -49 0
42 -30 26 0
-23 3 -2 0
21 4 22 0
20 -52 51 0
-25 22 -31 0
46 14 49 0
13 -28 4 0
4 51 -43 0
3 38 59 0
-26 53 10 0
37 -60 38 0
-59 -25 55 0
19 -24 44 0
-35 49 -15 0
-46 -40 17 0
-10 24 35 0
23 -12 8 0
-44 -45 -25 0
-17 -45 48 0
-46 14 -56 0
-48 11 56 0
-2 22 12 0
-56 42 -9 0
12 -25 38 0
39 -44 46 0
34 14 58 0
19 -58 -18 0
60 -16 36 0
-18 15 -59 0
-20 39 60 0
-17 45 -40 0
-27 -11 20 0
-33 -60 -1 0
47 -21 -56 0
-49 -46 -52 0
-44 -52 20 0
37 -33 -57 0
19 -39 -54 0
24 -26 11 0
-18 1 -58 0
-51 -46 28 0
39 41 -11 0
-15 -2 -19 0
27 32 22 0
48 -38 52 0
3 -12 -54 0
-11 55 28 0
52 45 42 0
45 -48 11 0
40 -37 -57 0
-29 59 60 0
-46 -18 59 0
31 -8 -19 0
-17 -26 44 0
-32 28 30 0
-48 43 5 0
-33 58 20 0
16 15 -42 0
-53 38 -19 0
-24 13 -7 0
-41 -16 3 0
7 51 -49 0
20 9 23 0
-52 12 17 0
12 35 20 0
24 41 -37 0
11 5 31 0
-35 -36 7 0
14 49 42 0
15 -24 -18 0
-37 22 -56 0
-14 22 -44 0
60 -52 -10 0
-37 42 -46 0
49 -19 -8 0
-29 -26 17 0
-10 -4 -28 0
20 8 -5 0
-40 44 54 0
-39 -56 10 0
-59 -31 -44 0
-53 -45 35 0
24 -51 48 0
29 -19 21 0
-22 -45 -44 0
26 55 25 0
-38 53 -45 0
12 53 60 0
-13 -18 -29 0
-13 -23 -27 0
-4 59 25 0
-20 54 -14 0
-57 -4 -53 0
-8 25 53 0
-48 -35 -47 0
49 -13 -55 0
29 -21 -59 0
59 57 -18 0
-46 -5 -1 0
28 47 4 0
-50 38 43 0
-56 16 54 0
-34 -57 -29 0
-14 -31 -30 0
42 29 -12 0
-6 22 -58 0
9 49 18 0
29 26 -45 0
-50 -2 28 0
-20 10 -35 0
49 33 24 0
-3 -33 -57 0
-46 -60 -13 0
18 -6 50 0
9 37 -44 0
22 11 44 0
42 -50 -35 0
-29 -22 -27 0
45 8 -6 0
-46 -7 -25 0
-45 -11 33 0
-40 -53 -8 0
-21 -15 -49 0
-8 -34 57 0
52 -20 -37 0
40 46 -8 0
14 2 30 0
10 15 -21 0
12 -52 -33 0
48 -15 -40 0
-38 35 56 0
5 -9 -14 0
16 -9 10 0
52 -57 60 0
-17 11 41 0
40 -23 -46 0
18 5 -54 0
-59 -9 37 0
-43 -48 -2 0
36 -28 -37 0
-56 39 -12 0
28 19 13 0
12 -43 -33 0
-30 -45 -28 0
49 5 -14 0
59 -33 -44 0
-57 -33 -25 0
39 7 -48 0
41 18 2 0
56 55 23 0
47 -45 -11 0
-28 -27 42 0
-7 55 -53 0
-45 42 -29 0
60 32 1 0
-55 10 23 0
-17 -34 9 0
-48 3 -57 0
25 31 53 0
4 -14 -8 0
18 2 -9 0
-29 -15 46 0
-13 -6 -56 0
20 -51 28 0
-30 14 -24 0
24 44 11 0
12 -55 23 0
-33 45 34 0
-34 -14 21 0
-32 57 43 0
-51 20 19 0
-29 2 43 0
16 3 41 0
36 -54 38 0
16 44 29 0
56 37 17 0
-60 -22 -7 0
-4 -9 -30 0
14 28 -55 0
-60 55 -21 0
-3 30 -58 0
58 -22 31 0
-5 40 -34 0
46 -47 -59 0
-33 -54 -24 0
38 3 15 0
23 39 -5 0
2 43 -16 0
-55 58 6 0
-9 -42 14 0
-30 38 2 0
-39 -20 44 0
-27 49 -44 0
-4 -36 -55 0
19 -7 32 0
-10 42 34 0
-58 -34 -51 0
-34 50 29 0
57 29 -37 0
-6 -2 -9 0
54 17 -53 0
11 38 1 0
-51 6 -60 0
-11 29 -28 0
34 48 -49 0
-1 60 -48 0
37 17 -27 0
-13 47 -48 0
-27 -59 -41 0
47 39 59 0
37 21 -17 0
13 -3 58 0
-42 34 5 0
32 14 -18 0
1 -22 14 0
46 29 -57 0
47 -37 -22 0
57 -43 42 0
53 -51 -3 0
17 52 36 0
-56 50 49 0
56 32 -50 0
58 27 -56 0
-17 26 -22 0
41 -59 9 0
42 34 44 0
50 -22 42 0
27 59 4 0
36 -56 -59 0
25 30 29 0
-43 -24 1 0
28 -52 7 0
17 -22 -7 0
-51 36 4 0
-54 7 -56 0
28 17 29 0
57 -28 49 0
45 -30 28 0
32 -18 26 0
5 -54 46 0
-1 -15 59 0
-27 43 -17 0
58 -1 -31 0
58 -60 -19 0
-58 20 19 0
56 20 43 0
-51 19 -31 0
-58 37 59 0
2 57 9 0
-26 -2 -33 0
-42 5 -24 0
-39 50 47 0
8 26 35 0
22 21 -9 0
-40 -10 6 0
19 -51 -40 0
28 -60 10 0
58 60 59 0
45 -19 -37 0
38 -33 -20 0
17 -42 36 0
25 -16 -3 0
-14 54 -1 0
-12 -28 42 0
59 -35 -43 0
25 -36 49 0
-37 -54 11 0
8 -1 -29 0
21 -38 22 0
-58 -9 -48 0
-23 42 -13 0
-27 16 39 0
-20 -37 -59 0
-33 -18 -29 0
43 50 7 0
25 -54 10 0
30 52 -19 0
20 31 -59 0
56 -36 12 0
53 43 -7 0
-50 45 -12 0
-32 37 12 0
30 -4 35 0
58 31 48 0
18 -13 22 0
13 -51 -58 0
20 -25 10 0
-30 -25 52 0
19 -15 36 0
-54 -1 -14 0
58 8 -15 0
27 34 -58 0
50 46 25 0
22 -6 -29 0
33 -17 -40 0
