c instance by G2
c solution = 1111011111011000010101101011101111010100
p cnf 40 56 3
w 7 5 0 4 4 9 2 7 8 8 3 6 9 1 1 1 3 0 1 4 5 5 2 9 8 3 1 4 0 0 5 8 0 3 1 1 7 0 7 5 
-3 -40 -6 0
22 -27 30 0
-20 7 -38 0
35 -2 -39 0
20 -1 35 0
5 31 16 0
-22 -25 -26 0
-39 -1 -8 0
-11 -2 -36 0
-5 13 24 0
-31 14 6 0
35 -17 -29 0
27 30 24 0
-30 -38 -12 0
-20 39 27 0
-21 -8 17 0
-14 11 -20 0
18 -1 -7 0
-3 23 -1 0
40 -25 -5 0
39 29 35 0
15 -7 1 0
-19 11 -31 0
-28 -1 -11 0
-12 4 -27 0
17 -31 3 0
-36 26 12 0
-7 -9 36 0
-2 -13 -40 0
-29 24 10 0
37 4 -13 0
35 12 33 0
-21 -4 27 0
5 35 2 0
-34 38 17 0
-37 -38 -13 0
-39 6 20 0
5 -40 -32 0
-3 24 13 0
-13 -16 37 0
-12 -22 25 0
24 33 -4 0
17 5 38 0
40 32 26 0
35 7 -1 0
-10 13 -28 0
34 -18 -29 0
-24 39 -20 0
-19 7 40 0
8 -10 -4 0
-29 -35 -6 0
20 16 5 0
-29 5 9 0
24 -28 -14 0
-12 28 14 0
11 39 -15 0
