c instance by G2
c solution = 101110110111110100010101010001110111001100011010001111000101
p cnf 60 216 3
w 2 0 0 6 4 3 5 3 4 2 7 9 6 8 2 8 2 6 2 5 5 1 2 3 8 7 4 9 4 8 2 3 0 4 2 3 9 6 6 9 5 3 6 5 3 3 3 2 1 7 7 7 5 8 6 7 0 5 5 3 
-5 11 18 0
46 -19 6 0
-57 -60 -38 0
-17 34 -48 0
29 -18 -25 0
-19 38 13 0
-28 -3 -39 0
-3 53 15 0
44 18 48 0
-41 42 46 0
-41 27 1 0
5 41 -8 0
50 -8 20 0
41 -42 44 0
-11 33 13 0
-37 -54 -28 0
7 46 12 0
-36 -6 54 0
1 -31 -11 0
-17 -45 56 0
4 -12 -19 0
25 52 15 0
13 -39 -21 0
12 23 -59 0
25 19 24 0
-26 6 31 0
-47 1 24 0
-21 54 -23 0
57 34 16 0
-38 33 43 0
7 41 8 0
-57 -40 2 0
55 32 3 0
-9 23 -15 0
28 -6 19 0
-35 2 -50 0
21 26 -24 0
-50 43 -60 0
-15 -14 -30 0
16 33 11 0
3 -6 45 0
55 -25 7 0
47 -13 -3 0
9 12 -58 0
-55 31 32 0
-8 30 -26 0
21 -29 23 0
-5 32 -47 0
42 22 -36 0
-17 55 -34 0
21 -49 59 0
27 3 -19 0
-60 58 17 0
-6 13 50 0
-24 -23 57 0
37 51 -26 0
-24 -17 43 0
17 -16 44 0
30 7 8 0
52 13 18 0
7 6 -20 0
42 -19 -32 0
1 -4 -59 0
-57 32 53 0
-42 -32 60 0
-48 46 -21 0
41 34 25 0
16 33 -52 0
-5 -30 12 0
55 35 21 0
8 21 43 0
-23 -9 -27 0
-58 36 28 0
26 -52 45 0
-47 40 -57 0
-31 -49 -20 0
-49 -26 -22 0
-37 -12 -8 0
-30 -43 -20 0
-5 32 30 0
-15 2 -7 0
-23 -60 -10 0
7 55 10 0
-54 42 8 0
-21 28 -8 0
9 -22 3 0
60 -55 58 0
57 41 -19 0
-29 11 -56 0
-55 10 19 0
39 -30 -44 0
-32 22 -21 0
-43 -47 -60 0
36 38 1 0
31 -59 -16 0
30 4 -50 0
-38 -23 4 0
46 -4 -43 0
-32 -24 40 0
-23 2 56 0
-39 1 30 0
19 -30 24 0
16 -51 -49 0
36 -21 40 0
-6 33 28 0
-42 -53 -8 0
31 -41 50 0
46 -19 -39 0
-18 45 -20 0
-5 18 -25 0
-48 -52 -13 0
-21 56 -44 0
-43 35 -27 0
53 -4 -26 0
54 27 47 0
54 -16 18 0
26 25 21 0
15 51 -39 0
52 -58 7 0
15 -22 -41 0
17 47 33 0
54 -2 33 0
-3 -45 47 0
45 -2 42 0
-28 12 -45 0
52 -32 35 0
-53 -59 -16 0
32 59 1 0
-40 16 -3 0
10 15 56 0
49 -21 15 0
35 -49 42 0
23 58 45 0
-10 4 49 0
45 57 -58 0
-46 53 -60 0
16 60 41 0
34 49 19 0
20 -26 55 0
13 -54 -39 0
-55 31 47 0
-59 -7 -5 0
-57 20 -44 0
-12 -5 -59 0
-7 24 10 0
-2 -33 25 0
20 -8 30 0
-28 59 -3 0
14 -5 18 0
16 26 -20 0
33 -9 -24 0
58 27 42 0
-28 -36 34 0
31 29 4 0
25 -27 59 0
21 -19 -59 0
36 -19 -44 0
-42 2 -35 0
-55 49 -11 0
-5 -10 22 0
-1 8 21 0
-28 -50 -52 0
42 39 -7 0
20 -26 58 0
24 38 44 0
35 -60 9 0
57 -34 52 0
17 -20 34 0
-30 40 10 0
37 -46 49 0
-57 1 11 0
-5 -40 -2 0
-20 55 24 0
-18 -25 16 0
53 -15 -47 0
-33 55 19 0
-32 1 37 0
-10 54 -27 0
-15 -4 50 0
47 -23 12 0
41 12 57 0
55 -17 -47 0
33 -18 37 0
60 -24 -36 0
11 29 3 0
-21 32 53 0
39 -49 -40 0
-47 42 -28 0
-9 57 3 0
-51 60 -53 0
-60 -5 22 0
-59 -8 27 0
-39 -10 31 0
14 -44 38 0
-58 -59 -14 0
8 -57 -38 0
-54 -23 60 0
-29 50 51 0
-16 32 23 0
47 -45 58 0
-4 -17 -3 0
5 -14 25 0
-29 -6 43 0
23 34 -57 0
57 7 -1 0
-56 18 -36 0
-53 -55 -33 0
23 52 -54 0
-23 -33 -16 0
26 36 40 0
-11 26 -28 0
-57 -7 -18 0
7 -1 -53 0
22 -38 13 0
57 -25 54 0
29 53 -26 0
