c instance by G2
c solution = 010010101011111001100110011000
p cnf 30 36 3
w 8 7 6 3 1 4 5 8 8 0 6 7 0 4 9 0 8 7 0 4 2 1 6 8 1 4 0 1 7 3 
-17 -29 -14 0
-15 -27 -17 0
28 23 4 0
24 -15 27 0
20 -10 6 0
26 21 -7 0
-7 1 -4 0
-2 -20 -26 0
2 1 6 0
-3 8 21 0
-11 20 2 0
4 3 -25 0
18 -9 -27 0
-21 25 1 0
13 16 6 0
-30 6 8 0
-4 -8 27 0
-14 15 6 0
29 17 27 0
12 16 30 0
-24 8 21 0
-29 -12 21 0
-12 7 27 0
3 7 -13 0
11 16 30 0
-16 30 21 0
-14 10 19 0
10 -26 -28 0
-9 20 22 0
-8 -26 -18 0
-5 21 -1 0
-6 -25 16 0
14 -12 -19 0
9 -12 -23 0
28 17 5 0
-23 -6 -7 0
