c instance by G2
c solution = 101101110011010000110000000011
p cnf 30 78 3
w 5 4 9 5 1 7 0 2 7 6 9 4 2 2 2 6 1 5 9 8 8 5 9 5 6 5 9 0 9 2 
22 8 -30 0
18 3 11 0
-2 -8 -17 0
16 -18 5 0
-17 8 -29 0
-29 8 27 0
7 -2 26 0
2 -17 -27 0
20 16 -24 0
-25 5 -15 0
22 29 -1 0
6 1 -5 0
-13 -2 12 0
-29 6 9 0
-21 -29 17 0
17 20 8 0
13 5 -15 0
-30 4 -6 0
-5 16 -30 0
4 13 30 0
18 -2 10 0
-12 27 14 0
-16 15 26 0
-16 9 -3 0
-13 3 12 0
17 -9 2 0
-26 24 -14 0
-12 11 5 0
-25 -11 17 0
-21 -11 -20 0
-15 29 -14 0
5 16 19 0
18 -19 -10 0
28 18 20 0
6 -23 4 0
-25 -6 24 0
17 -30 -13 0
-16 17 -27 0
13 -12 -21 0
-7 -24 -30 0
-14 11 -29 0
3 -6 16 0
7 27 17 0
14 25 -12 0
-30 -27 16 0
25 27 30 0
-25 -9 -18 0
-27 -3 -16 0
-9 11 4 0
13 8 3 0
-11 22 -17 0
-14 -1 -22 0
-12 3 15 0
-28 9 -4 0
1 27 2 0
-15 -25 -22 0
-20 21 19 0
14 23 3 0
-17 23 -5 0
22 14 -27 0
26 12 -3 0
-18 -5 19 0
-26 -4 22 0
24 3 10 0
-9 -6 5 0
10 13 -17 0
-18 -12 -7 0
3 -29 5 0
-26 -23 1 0
-13 -1 21 0
26 11 -2 0
-7 -5 22 0
28 16 -17 0
16 -23 -8 0
-15 5 21 0
13 -30 -18 0
-3 14 1 0
-1 4 -6 0
