c instance by G2
c solution = 1110001111010000010100110100010100010011
p cnf 40 120 3
w 3 8 5 7 9 3 7 5 7 7 7 1 6 0 9 9 2 1 1 2 7 5 0 2 5 8 4 9 6 6 2 8 1 6 3 7 6 1 0 4 
-2 -22 21 0
38 1 -20 0
-35 25 27 0
-14 27 -23 0
28 31 7 0
29 -22 33 0
-12 2 4 0
39 5 9 0
-17 -6 -23 0
26 -9 33 0
-38 30 -26 0
-30 -5 28 0
31 18 -10 0
-19 28 9 0
35 -17 -3 0
-13 -32 -9 0
-18 17 -21 0
-21 -16 -20 0
13 -29 38 0
-34 -28 6 0
-10 -1 9 0
-31 40 5 0
-2 36 1 0
-26 -7 -38 0
-14 -35 -18 0
-22 -33 21 0
-4 -40 30 0
7 31 24 0
-14 19 18 0
3 -7 23 0
27 23 37 0
30 -40 -9 0
-23 2 11 0
-26 -6 37 0
-28 -40 6 0
-10 -9 12 0
-24 -34 37 0
-15 -25 37 0
9 -13 34 0
22 -37 -10 0
21 -38 8 0
-4 17 19 0
35 -18 -17 0
21 -32 -31 0
-29 15 -9 0
16 -4 -24 0
32 19 35 0
9 -14 -13 0
15 30 3 0
-40 14 2 0
8 28 -1 0
40 -11 -1 0
-37 -13 34 0
-16 23 -20 0
34 -11 21 0
-15 36 38 0
-11 -13 -7 0
34 -15 -8 0
-9 -7 23 0
-30 -27 -24 0
21 -16 4 0
18 23 14 0
-24 1 4 0
-32 -35 -3 0
6 -14 26 0
18 40 35 0
-39 26 -36 0
-10 20 22 0
-5 8 14 0
-34 19 -37 0
22 -13 -4 0
-36 -35 24 0
-28 -19 -16 0
-34 -36 13 0
35 31 -25 0
27 -34 -39 0
17 24 15 0
36 -4 -17 0
28 7 14 0
35 30 -20 0
24 -25 13 0
-40 -14 -10 0
11 -38 -31 0
-36 -39 20 0
37 -14 23 0
-15 -25 29 0
20 -17 -27 0
-40 17 -14 0
-25 -19 35 0
28 -26 -27 0
19 10 -9 0
-25 34 -14 0
38 -30 23 0
10 -9 -20 0
-22 -36 37 0
16 35 39 0
-33 -40 25 0
23 37 -9 0
-2 -18 9 0
-25 -17 34 0
-19 15 -20 0
13 -37 8 0
20 15 -10 0
-2 29 32 0
-13 -22 35 0
-10 17 -34 0
-34 -8 37 0
-39 40 21 0
36 -20 4 0
3 21 31 0
-31 8 -33 0
7 26 -19 0
-38 -37 -9 0
9 -3 39 0
-13 4 -39 0
35 -31 11 0
5 -29 26 0
29 -9 -38 0
4 34 32 0
33 -13 -4 0
